region_code,region_name,state,associates_attainment_rate
DC-1,District of Columbia,DC,3.06
KY-1,Northern Kentucky,KY,8.751637974487824
KY-10,East Central,KY,8.432244792388342
KY-2,Bluegrass,KY,8.411301712725853
KY-3,Louisville Metro,KY,8.71930139947047
KY-4,Eastern Mountains,KY,7.437690851272341
KY-5,Northeast,KY,9.554551910224601
KY-6,South Central,KY,8.918112483764762
KY-7,Pennyrile,KY,9.662634910135937
KY-8,Purchase,KY,9.647010270430028
KY-9,Western,KY,10.1779635547008
MD-1,Western Maryland,MD,8.644397901042721
MD-2,Central Maryland,MD,6.732835662527574
MD-3,Capital Region,MD,6.248453055499747
MD-4,Southern Maryland,MD,7.754781851415451
MD-5,Upper Eastern Shore,MD,7.3460647025972
MD-6,Lower Eastern Shore,MD,7.883624051411773
NC-1,Western Mountains,NC,10.646884493111974
NC-10,Coast,NC,10.797727630156556
NC-2,Asheville Metro,NC,9.35875406857131
NC-3,Western Piedmont,NC,11.911420033649705
NC-4,Charlotte Metro,NC,9.241640437082443
NC-5,Triad,NC,9.661218457410497
NC-6,Triangle,NC,8.204809061975597
NC-7,Sandhills,NC,11.948564970839682
NC-8,Eastern Piedmont,NC,11.662093914168311
NC-9,Coastal Plain,NC,11.45038561349922
TN-1,First Tennessee,TN,8.086049505321542
TN-2,Knoxville Metro,TN,8.504110401490806
TN-3,Southeast Tennessee,TN,8.609791603690676
TN-4,Upper Cumberland,TN,6.650312019837829
TN-5,Nashville Metro,TN,7.63784413491164
TN-6,South Central,TN,8.357937186149325
TN-7,Northwest Tennessee,TN,6.950928739833271
TN-8,Memphis Metro,TN,6.65853963459727
TN-9,Southern Middle Tennessee,TN,6.04858771343303
VA-1,Southwest Virginia,VA,9.459944580553751
VA-10,Hampton Roads,VA,9.892023771825697
VA-11,Eastern Shore,VA,8.116497910447762
VA-2,New River Valley & Highlands,VA,9.580432444722787
VA-3,Southside & Danville,VA,9.493566274134615
VA-4,Roanoke Valley & Alleghany Highlands,VA,8.887854855969966
VA-5,Shenandoah Valley,VA,7.344663144558687
VA-6,Charlottesville-Central Virginia,VA,7.5085400774904745
VA-7,Richmond Metro,VA,7.660927556825339
VA-8,Northern Virginia,VA,5.95068803628602
VA-9,Rappahannock,VA,7.7653128244110246
WV-1,Northern Panhandle,WV,10.265016453418433
WV-2,North Central,WV,6.935596253912085
WV-3,Eastern Panhandle,WV,8.560999657513548
WV-4,Central,WV,6.572785872163833
WV-5,Western,WV,9.99916664770374
WV-6,Southern Coalfields,WV,7.3328459164389335
WV-7,Randolph-Pocahontas,WV,5.528023146228371
