region_code,total_weight,dir_income_growth_rate,num_counties,region_name,state
DC-1,12117158,4.34,1,District of Columbia,DC
KY-1,5512292,7.502231501887055,9,Northern Kentucky,KY
KY-10,724269,5.246876657705908,4,East Central,KY
KY-2,8108167,3.885203357306281,15,Bluegrass,KY
KY-3,12873071,8.644879955218146,8,Louisville Metro,KY
KY-4,1552565,-1.5504981755997336,21,Eastern Mountains,KY
KY-5,1232651,3.034502929052911,14,Northeast,KY
KY-6,3652846,5.39775369123144,22,South Central,KY
KY-7,1589912,2.4102208549907167,12,Pennyrile,KY
KY-8,1564881,3.795725253230118,8,Purchase,KY
KY-9,1725869,4.5765952862007495,7,Western,KY
MD-1,1742884,2.3466397878458927,3,Western Maryland,MD
MD-2,26346913,4.719980852026194,5,Central Maryland,MD
MD-3,34770692,4.333600917980005,3,Capital Region,MD
MD-4,13263784,5.2817881978476136,4,Southern Maryland,MD
MD-5,3467201,7.779151932639613,5,Upper Eastern Shore,MD
MD-6,1999145,4.932252312863749,4,Lower Eastern Shore,MD
NC-1,4137046,5.7056453058535,14,Western Mountains,NC
NC-10,11182924,7.202321527893778,15,Coast,NC
NC-2,6075538,8.494492263894983,2,Asheville Metro,NC
NC-3,6726738,5.673586236003246,13,Western Piedmont,NC
NC-4,26465086,9.822032153230108,7,Charlotte Metro,NC
NC-5,14967640,6.5266849316258275,9,Triad,NC
NC-6,28104515,8.851442983449456,9,Triangle,NC
NC-7,7059573,5.07659005013476,9,Sandhills,NC
NC-8,4241090,3.7934756088647026,8,Eastern Piedmont,NC
NC-9,5413939,2.695257909259783,14,Coastal Plain,NC
TN-1,3390693,3.096349746202325,8,First Tennessee,TN
TN-2,10586244,4.884982798431625,16,Knoxville Metro,TN
TN-3,6196953,6.682194891586236,11,Southeast Tennessee,TN
TN-4,2183263,3.389835970288509,15,Upper Cumberland,TN
TN-5,26050237,11.822723070427346,13,Nashville Metro,TN
TN-6,2288293,4.482965835231765,10,South Central,TN
TN-7,2777919,2.367519513707923,16,Northwest Tennessee,TN
TN-8,9031570,4.263937189215165,2,Memphis Metro,TN
TN-9,400630,2.2728387040411353,4,Southern Middle Tennessee,TN
VA-1,738095,2.0899772251539437,6,Southwest Virginia,VA
VA-10,16206604,4.6820158547713016,10,Hampton Roads,VA
VA-11,493259,1.6605551444575768,2,Eastern Shore,VA
VA-2,884435,2.3424947904594458,7,New River Valley & Highlands,VA
VA-3,1695758,4.602666011305859,10,Southside & Danville,VA
VA-4,1420798,4.810344982186066,4,Roanoke Valley & Alleghany Highlands,VA
VA-5,1178599,2.0327484835809297,5,Shenandoah Valley,VA
VA-6,2891042,4.176159896673933,10,Charlottesville-Central Virginia,VA
VA-7,16378150,4.734878790339568,10,Richmond Metro,VA
VA-8,19626664,7.031084344237002,5,Northern Virginia,VA
VA-9,2689465,3.829882128973606,13,Rappahannock,VA
WV-1,1614506,10.888172883841868,5,Northern Panhandle,WV
WV-2,2879141,6.591209093267749,8,North Central,WV
WV-3,2131031,4.215363840319545,8,Eastern Panhandle,WV
WV-4,2403811,2.324136281928987,11,Central,WV
WV-5,2607430,6.978710550235289,8,Western,WV
WV-6,2141526,1.3211021019590703,13,Southern Coalfields,WV
WV-7,252197,2.037961197000757,2,Randolph-Pocahontas,WV
